STUDY_ID	SAMPLE_ID	ASH1L	ASH2L	CAMKMT	DOT1L	EEF2KMT	ETFBKMT	EZH1	EZH2	EHMT2	EHMT1	N6AMT1	METTL21A	EEF1AKMT3	METTL21C	METTL22	EEF1AKMT2	CSKMT	EEF1AKNMT	VCPKMT	KMT2A	KMT2D	KMT2C	KMT2B	KMT2E	NSD1	NSD2	NSD3	PRDM1	PRDM2	MECOM	PRDM4	PRDM5	PRDM6	PRDM7	PRDM8	PRDM9	PRDM10	PRDM11	PRDM12	PRDM13	PRDM14	PRDM15	PRDM16	SETD1A	SETD1B	SETD2	SETD3	SETD4	SETD5	SETD6	SETD7	KMT5A	SETD9	SETDB1	SETDB2	SETMAR	SMYD1	SMYD2	SMYD3	SMYD4	SMYD5	SUV39H1	SUV39H2	KMT5B	KMT5C
brca_tcga_pub2015	TCGA-A7-A0DA-01	3590.492	925.3681	210.5087	824.6319	340.5556	25.1004	597.3896	428.3802	1461.5127	987.9518	163.6546	142.5703	268.0723	0	191.7671	250.7965	91.7403	1665.6627	134.5382	2574.2972	1846.3655	3277.4431	1806.5596	2658.5074	2099.7323	2673.6948	1130.8568	293.5074	1247.992	96.7202	1003.6814	15.7296	35.8099	0	16.3989	0	189.4244	13.0522	6.0241	6.3588	0	318.9424	43.842	757.3628	1018.0723	1528.4471	1126.1714	407.2959	3376.1714	424.9029	1257.3628	798.1928	48.8621	1400.2677	410.9772	512.0482	229.9197	1918.6747	435.4083	424.3641	932.7309	550.8701	420.6827	2306.5596	168.34
brca_tcga_pub2015	TCGA-D8-A13Z-01	2766.6991	3998.6505	225.1012	807.0148	410.9852	46.9636	449.6626	930.3644	2073.4143	1678.5425	196.2213	142.2402	232.1188	0	152.4966	482.1296	76.2564	2009.4467	246.9636	1931.444	1992.9474	3181.6464	1154.6559	2095.5466	3979.7571	1450.7422	1882.861	400	1526.8556	171.39	980.2969	32.9285	25.9109	0	20.2429	0.2699	243.9946	13.7652	4.8583	0	0	272.3347	70.7152	856.6802	734.9528	2101.2146	971.6599	268.0162	3068.8259	232.888	1604.3185	807.8273	36.1673	1160.8637	278.0027	354.9258	2.6991	1021.5924	550.8772	289.3387	781.6464	384.3455	673.4143	777.8677	121.7274
brca_tcga_pub2015	TCGA-D8-A147-01	3638.5299	1472.5268	61.0478	426.3284	278.9684	56.0164	656.0962	1276.9726	2291.3054	958.6518	362.9326	275.0506	216.0153	0	123.7728	472.0505	35.5754	1435.9652	148.5944	4108.6517	2712.012	3183.2072	1847.5348	1860.11	3664.8811	2376.504	2568.7039	298.1951	2349.3343	44.2764	991.8592	45.2827	12.4108	2.0126	16.1005	0	186.1623	60.377	1.0063	3.6897	0	476.6425	5.3668	1075.0452	978.4421	2304.7225	834.5437	524.2732	3201.3202	291.8655	2665.9779	800.6655	52.3267	2092.3969	164.0241	170.7326	3.0188	750.3514	473.9591	306.2453	363.6034	366.6223	422.9741	748.3388	112.7036
brca_tcga_pub2015	TCGA-D8-A143-01	2451.4817	780.7941	147.1555	1147.3588	825.2245	40.4772	374.5088	1337.6396	2459.6528	1420.4854	245.5113	177.7971	169.0964	0	205.0341	155.2055	21.1957	1795.3725	80.9544	904.4955	887.3173	1488.1997	971.4532	814.0838	2547.7948	3986.8165	1042.1937	328.7355	1141.6844	210.7085	382.4529	27.9936	21.1843	0.3783	9.8356	0	233.7843	12.1053	3.4046	0.3783	0	256.1035	195.9551	1236.2574	542.4703	2031.4266	1318.725	132.4021	2684.7364	333.642	2737.6972	692.2739	90.79	1528.2986	163.8003	741.0735	1.1349	1316.4552	330.627	418.3907	1263.8727	478.1607	591.27	1056.1905	252.3206
brca_tcga_pub2015	TCGA-A2-A1G6-01	2524.0093	1172.7819	108.072	427.6184	414.4196	89.3929	1276.1841	109.4063	1201.4676	1268.8459	379.2528	195.7972	468.9793	0	147.7652	383.3722	80.537	828.2188	245.497	2514.3429	1466.6845	2705.1368	764.8432	2256.8446	2023.0153	934.2895	1320.2135	337.5584	1619.0794	245.497	903.936	62.3749	19.3462	0.3336	54.3696	0	335.2235	13.3422	1.0007	0	0	187.1247	22.6818	821.8813	869.2462	2391.928	1727.485	393.9293	2296.531	286.4376	2591.0607	821.2141	147.7652	922.2815	653.1021	801.8679	355.2368	704.4696	238.8259	433.6224	810.5404	180.7872	163.4423	1771.1808	117.4116
brca_tcga_pub2015	TCGA-C8-A26Y-01	3160.0918	1456.9374	151.1397	679.2106	603.4297	50.1759	604.8646	1184.0294	1158.6355	1826.22	392.5348	475.7534	303.8091	0.6119	182.6526	196.3531	11.9535	1287.7467	107.6947	1459.385	2044.7912	1999.3881	1012.391	2180.0337	2046.8105	4238.6416	1579.0118	205.2929	1326.2965	128.4993	595.0742	45.5867	49.2581	2.7536	17.7451	0.306	297.0782	6.425	0.9179	0.306	0	219.3667	518.8925	1235.4291	823.9253	2093.6209	1994.4929	364.9992	2644.9442	192.4675	3015.4505	694.5082	147.1623	977.2067	292.183	713.4771	0.9179	1019.4279	214.4715	262.1998	1164.1426	560.5018	265.5652	820.2539	176.8395
brca_tcga_pub2015	TCGA-C8-A26X-01	1384.4465	811.6674	81.7639	738.622	619.2559	75.7924	311.8971	1720.2572	1129.9954	954.5246	128.158	368.8562	733.5783	0	140.5604	233.808	34.9426	1038.1259	96.9224	1078.5485	1445.5811	1475.4249	1079.4672	886.6835	1371.6123	1029.3983	1222.3243	988.057	863.1144	294.4419	596.2333	21.13	30.7763	0	28.0202	0	200.735	5.9715	0.4593	0	0	178.6863	38.1259	744.6027	917.7768	1666.5136	1887.4598	213.1373	2313.2751	235.2963	3234.2673	1062.9306	109.3248	886.5411	255.8567	604.5016	1.8374	401.4699	1609.0951	167.6619	836.4722	384.474	309.141	779.9724	138.2637
brca_tcga_pub2015	TCGA-A7-A26G-01	4527.6057	825.7658	128.4099	226.1547	214.0639	46.8189	476.6771	218.4884	1557.0722	927.8913	162.3604	369.8971	789.6248	2.4642	120.4698	514.2062	109.3483	813.1712	117.1843	6139.5793	1958.0176	2732.748	897.5	2632.8046	2061.6764	875.5964	1192.9249	832.063	1762.4185	2093.4367	1165.5454	88.162	84.6027	0	74.746	0	561.5536	52.2948	0.8214	0.5476	0	247.2369	8.4876	593.5876	875.0489	3091.4195	1171.0213	255.177	3818.3452	216.0078	3956.0641	1028.3741	113.0773	1550.2274	452.0356	362.5046	1.9166	894.2145	188.9186	190.8351	536.0906	170.5743	466.8205	2775.46	63.5204
brca_tcga_pub2015	TCGA-C8-A27B-01	2672.3858	1698.5121	119.551	493.6022	414.307	24.7977	413.208	1461.4983	2549.7259	843.905	150.3524	438.2668	259.2013	0	56.9042	363.3333	55.1475	1477.421	259.7233	946.2281	1167.5411	2669.799	1622.8139	2374.1321	2156.356	2889.846	1546.3326	429.3918	1102.0621	127.9039	933.6988	17.7499	3.9154	1.5662	9.397	0	266.249	21.4043	1.3051	0	0	209.8669	2.0882	594.3618	1060.2976	2188.2015	1025.0587	193.9441	2314.2783	290.0861	1462.5424	1134.1686	34.7168	1580.7883	525.7113	368.5722	20.8823	1574.2626	223.1793	307.7525	390.4986	263.6387	877.0556	1190.8118	67.8674
brca_tcga_pub2015	TCGA-AN-A0XU-01	3926.9538	862.8532	176.0855	597.1709	372.1399	25.8442	262.5775	1412.8187	1835.6306	822.5362	146.1061	451.0682	470.0207	0.3446	198.1392	251.0992	39.3453	1289.111	301.5162	3332.5293	3787.6947	252.2398	1639.9035	1271.9435	2630.5996	2213.6458	933.1496	238.1116	1125.7753	57.5465	978.6354	56.5127	4.1351	1.0338	6.5472	0.6892	306.685	14.8174	3.1013	1.3784	0	266.0234	11.7161	1052.3777	741.213	1652.9979	1103.377	301.8608	4722.9497	341.3129	2475.8787	782.2192	62.7154	1534.459	228.1185	980.703	2.4121	970.0207	342.5224	310.8201	665.4032	405.2378	736.0441	921.0889	138.8697
